C, gamma, Validation Accuracy
0.1,0.5,76.0
0.1,0.6,76.0
0.1,0.7,71.111
0.1,0.8,59.111
0.1,0.9,50.889
0.1,1.0,49.111
0.2,0.5,76.444
0.2,0.6,75.556
0.2,0.7,73.778
0.2,0.8,74.222
0.2,0.9,73.556
0.2,1.0,71.333
0.3,0.5,77.111
0.3,0.6,76.444
0.3,0.7,76.222
0.3,0.8,74.0
0.3,0.9,72.0
0.3,1.0,72.667
0.4,0.5,78.667
0.4,0.6,76.667
0.4,0.7,76.0
0.4,0.8,75.778
0.4,0.9,73.333
0.4,1.0,71.333
0.5,0.5,78.667
0.5,0.6,76.889
0.5,0.7,75.556
0.5,0.8,74.889
0.5,0.9,74.444
0.5,1.0,73.111
0.6,0.5,78.667
0.6,0.6,77.333
0.6,0.7,75.556
0.6,0.8,74.889
0.6,0.9,74.444
0.6,1.0,74.0
0.7,0.5,78.444
0.7,0.6,78.0
0.7,0.7,77.333
0.7,0.8,76.444
0.7,0.9,75.333
0.7,1.0,74.889
0.8,0.5,78.222
0.8,0.6,77.556
0.8,0.7,78.0
0.8,0.8,77.556
0.8,0.9,76.444
0.8,1.0,75.556
0.9,0.5,79.111
0.9,0.6,78.889
0.9,0.7,78.444
0.9,0.8,77.778
0.9,0.9,77.333
0.9,1.0,76.889
1.0,0.5,80.667
1.0,0.6,79.333
1.0,0.7,78.0
1.0,0.8,78.0
1.0,0.9,77.556
1.0,1.0,77.111
