Feature, Importance
Case-1_original_glcm_DifferenceAverage ,0.1665282002
Case-1_original_glrlm_RunVariance ,0.1513400034
Case-1_original_glrlm_LongRunLowGrayLevelEmphasis ,0.1428281058
Case-1_original_ngtdm_Complexity ,0.1418582063
Case-1_original_glcm_JointEntropy ,0.1257078887
Case-1_original_glrlm_ShortRunEmphasis ,0.0384896249
Case-1_original_glrlm_RunLengthNonUniformity ,0.0255757412
Case-1_original_glcm_Id ,0.0224551369
Case-1_original_firstorder_RobustMeanAbsoluteDeviation ,0.0193255821
Case-1_original_gldm_GrayLevelNonUniformity ,0.0191803922
Case-1_original_firstorder_Energy ,0.0184858041
Case-1_original_shape_Maximum2DDiameterColumn ,0.0184821302
Case-1_original_glszm_LargeAreaHighGrayLevelEmphasis ,0.0167393412
Case-1_original_glcm_Imc1 ,0.0115035972
Case-1_original_glrlm_GrayLevelNonUniformityNormalized ,0.010517472
Case-1_original_firstorder_TotalEnergy ,0.0094111713
Case-1_original_glrlm_ShortRunHighGrayLevelEmphasis ,0.0084100377
Case-1_original_gldm_SmallDependenceEmphasis ,0.0076298465
Case-1_original_firstorder_Entropy ,0.0075223402
Case-1_original_glcm_ClusterProminence ,0.0071845229
Case-1_original_glcm_Idn ,0.0065086171
Case-1_original_gldm_SmallDependenceHighGrayLevelEmphasis ,0.0059186458
Case-1_original_glszm_SizeZoneNonUniformityNormalized ,0.005530583
Case-1_original_shape_Maximum2DDiameterSlice ,0.0049827583
Case-1_original_glszm_LargeAreaEmphasis ,0.0027698377
Case-1_original_glszm_LargeAreaLowGrayLevelEmphasis ,0.0018282044
Case-1_original_glszm_ZonePercentage ,0.001753099
Case-1_original_firstorder_Kurtosis ,0.00153311
